v-sweep,v-sweep_1,v1,v2,vbn,vbp,vcn,vcp,vmeas#branch,vout
0.25,0.25,0.25,0.8,0.497192514,0.918152874,0.62850874,0.744180807,0,0.002764204
0.251,0.251,0.251,0.8,0.497192514,0.918152873,0.628508742,0.74418079,0,0.002764204
0.252,0.252,0.252,0.8,0.497192514,0.918152873,0.628508738,0.744180798,0,0.002764204
0.253,0.253,0.253,0.8,0.497192514,0.918152873,0.62850874,0.744180804,0,0.002764204
0.254,0.254,0.254,0.8,0.497192515,0.918152874,0.62850874,0.744180794,0,0.002764204
0.255,0.255,0.255,0.8,0.497192514,0.918152874,0.628508741,0.744180798,0,0.002764204
0.256,0.256,0.256,0.8,0.497192514,0.918152873,0.628508741,0.744180801,0,0.002764206
0.257,0.257,0.257,0.8,0.497192514,0.918152874,0.628508741,0.744180792,0,0.002764207
0.258,0.258,0.258,0.8,0.497192514,0.918152873,0.62850874,0.744180785,0,0.002764207
0.259,0.259,0.259,0.8,0.497192514,0.918152873,0.628508742,0.744180795,0,0.002764207
0.26,0.26,0.26,0.8,0.497192514,0.918152874,0.628508741,0.744180812,0,0.002764207
0.261,0.261,0.261,0.8,0.497192514,0.918152873,0.628508742,0.744180791,0,0.002764209
0.262,0.262,0.262,0.8,0.497192514,0.918152874,0.628508739,0.7441808,0,0.002764207
0.263,0.263,0.263,0.8,0.497192514,0.918152873,0.628508744,0.744180809,0,0.002764209
0.264,0.264,0.264,0.8,0.497192514,0.918152873,0.628508739,0.744180812,0,0.002764209
0.265,0.265,0.265,0.8,0.497192514,0.918152873,0.628508739,0.744180796,0,0.002764211
0.266,0.266,0.266,0.8,0.497192514,0.918152874,0.628508738,0.744180798,0,0.002764209
0.267,0.267,0.267,0.8,0.497192514,0.918152873,0.62850874,0.744180813,0,0.002764211
0.268,0.268,0.268,0.8,0.497192514,0.918152874,0.62850874,0.74418081,0,0.002764211
0.269,0.269,0.269,0.8,0.497192514,0.918152873,0.628508742,0.744180816,0,0.00276421
0.27,0.27,0.27,0.8,0.497192514,0.918152873,0.628508744,0.744180808,0,0.002764211
0.271,0.271,0.271,0.8,0.497192514,0.918152874,0.628508738,0.744180813,0,0.002764211
0.272,0.272,0.272,0.8,0.497192514,0.918152873,0.628508743,0.744180796,0,0.002764211
0.273,0.273,0.273,0.8,0.497192514,0.918152874,0.628508738,0.744180796,0,0.00276421
0.274,0.274,0.274,0.8,0.497192515,0.918152873,0.628508741,0.744180821,0,0.002764212
0.275,0.275,0.275,0.8,0.497192514,0.918152875,0.62850874,0.744180796,0,0.002764212
0.276,0.276,0.276,0.8,0.497192514,0.918152874,0.62850874,0.744180808,0,0.002764212
0.277,0.277,0.277,0.8,0.497192514,0.918152874,0.628508739,0.744180808,0,0.002764212
0.278,0.278,0.278,0.8,0.497192514,0.918152873,0.62850874,0.744180815,0,0.002764215
0.279,0.279,0.279,0.8,0.497192514,0.918152873,0.628508742,0.7441808,0,0.002764216
0.28,0.28,0.28,0.8,0.497192514,0.918152873,0.628508739,0.744180816,0,0.002764215
0.281,0.281,0.281,0.8,0.497192514,0.918152874,0.628508742,0.744180799,0,0.002764216
0.282,0.282,0.282,0.8,0.497192514,0.918152874,0.628508741,0.744180811,0,0.002764217
0.283,0.283,0.283,0.8,0.497192514,0.918152874,0.628508739,0.744180801,0,0.002764217
0.284,0.284,0.284,0.8,0.497192514,0.918152873,0.62850874,0.744180807,0,0.002764218
